identifier,historical_finding
AMBIGUITY-MODE-EQUIVALENCE-001,"`Resolved; independent review passed`. A versioned coverage inventory closes the complete population of Scenario-relevant information, tactically relevant outcomes, and canonical initial-state classes. Every covered requirement and capability has applicable coverage or explicit non-applicability, qualified evaluators independently confirm tactical completeness before observation, approval fixes the version, `Pass` requires complete results, and changes trigger impact analysis."
AMBIGUITY-MODE-TOLERANCE-001,"`Resolved; independent review passed`. For every enumerated comparison item and outcome, tolerances are proposed, independently confirmed as tactically immaterial by qualified Representative Evaluators, and approved before comparative observation. Later tolerance changes invalidate results and require new execution; application depends on the approved coverage inventory."
AMBIGUITY-APPROVED-PROFILE-001,"`Resolved; independent review passed`. Profile validation enumerates every normative value and behavior and validates its derivation, evidence, conditions, tolerances, and applicability through in-scope Qualified Specialists. Every item must receive `Pass`; any other result prevents admission. The reviewer confirmed a finite item inventory, multidisciplinary coverage, exact-version approval gate, and rejection of non-admitted data."
AMBIGUITY-PROFILE-CHANGE-001,"`Resolved; independent review passed`. Every change to normative profile content or supporting evidence creates a new candidate requiring validation and approval; preceding versions and histories remain. A same-version administrative correction requires approved impact analysis proving no normative, evidentiary, applicability, or interpretive change. The independent review confirmed a finite mutation matrix and no contradiction with the evidence-change framework."
AMBIGUITY-SPECIALIST-QUALIFICATION-001,"`Resolved; independent review passed`. Before candidates are considered, an approved scope-specific procedure fixes competence evidence, depth, recency, and deterministic acceptance criteria. Each decision records candidate-to-criterion results, scope, validity, version and approval before validation. The reviewer confirmed finite timing and historical trace, no universal credential, and rejection of out-of-scope validation."
AMBIGUITY-EVALUATOR-QUALIFICATION-001,"`Resolved; independent review passed`. Every Representative Evaluation procedure defines experience scope and recency before evaluator selection or exposure to the product or results. Evaluator identity and dated relevant experience are recorded, the project owner approves the person for that procedure, findings remain limited to the approved scope, and evidence retains the qualification trace. The interview-blind reviewer found the resulting inspection boundary finite and independently understandable."
AMBIGUITY-EVALUATION-PROTOCOL-001,"`Resolved; independent review passed`. Representative Evaluation tasks, questions, conditions, scoring, and acceptance criteria are defined and approved before product observation. Individual results are retained, aggregate calculations are predefined and reproducible, and later consensus can support but cannot replace or modify the original individual evidence. The interview-blind reviewer independently identified the same compliant and non-compliant outcomes."
AMBIGUITY-OBLIGATION-DISPOSITION-001,"`Resolved; independent review passed`. Every independently fail-able obligation within an identifier receives a stable obligation key, attributable evidence, and its own Pass, Fail, or Blocked result. Identifier disposition is calculated deterministically, Fail takes precedence over Blocked when both occur, and no identifier can Pass while any normative clause or evidence is missing."
AMBIGUITY-METHOD-PRECEDENCE-001,"`Resolved; independent review passed`. Assignments permit one or more Required methods and zero or more Supporting methods. Applicable default Required methods accumulate, all must pass at obligation level, Supporting methods cannot determine acceptance, and removing a default requires an approved deviation. Demonstration's process-completeness role is explicitly non-dispositive."
AMBIGUITY-REPRESENTATIVE-EVALUATION-APPLICABILITY-001,"`Resolved; independent review passed`. Each obligation receives a recorded applicability decision and rationale. Representative Evaluation is Required when acceptance depends on tactical adequacy, human perception, credible military behavior, or training validity beyond objective technical evidence, and whenever objective sufficiency is uncertain. The reviewer confirmed that military subject matter alone does not require it when complete approved criteria and reproducible evidence close acceptance."
AMBIGUITY-REPRESENTATIVE-EVALUATION-PANEL-001,"`Resolved; independent review passed`. Every obligation requiring Representative Evaluation uses at least two independently reporting qualified evaluators. Two-person panels require both results to satisfy the criteria; a pre-approved reproducible alternative may use more evaluators. The reviewer confirmed finite qualification, timing, independence, aggregation, and immutable individual results."
AMBIGUITY-CANONICAL-CLOCK-001,"`Resolved; independent review passed`. Operational Clock is the canonical monotonic Session Authority time source for lifecycle deadlines and countdowns, rejects client-clock authority, requires satisfying events strictly before expiry, and gives an equal-time invalidating event precedence over countdown completion. The interview-blind reviewer confirmed finite boundary tests."
AMBIGUITY-PROCEDURAL-DEVIATION-001,"`Resolved; independent review passed`. Verification Method Exceptions are distinct pre-procedure applicability decisions. Planned deviations use approved prospective mappings followed by actual-evidence reconciliation; every unmapped difference becomes an unplanned deviation. Unplanned retention uses retrospective mapping, the current dependency inventory and exact impact rules. Neither path may weaken obligations, criteria, methods or evidence, and uncertainty requires rerun."
AMBIGUITY-IMPACT-ANALYSIS-001,"`Resolved; independent review passed`. A versioned Evidence Dependency Inventory closes the candidate population by reconciliation with authoritative inventories and declared procedure dependencies. Planned outputs and edges are pre-registered, immutable population does not create a version, unplanned discoveries require a new candidate version and rerun, and processing terminates only at an approved version containing all resulting records and dependencies with none pending. Path absence, obligation-level invariance, uncertainty, and inventory-change re-evaluation are finite and independently verifiable."
AMBIGUITY-READY-PRECONDITIONS-001,"`Resolved; independent review passed`. `TraineeReady` depends on a closed, individually identified set covering admitted connection, Call Sign and Team Position, valid Loadout, installed and loaded matching content, required access-mode devices, and Trainee declaration. The initial baseline prohibits unstated readiness gates; global Scenario validation remains part of session startability instead of individual readiness. The interview-blind reviewer independently confirmed the boundary and verification cases."
AMBIGUITY-SPAWN-POSITION-001,"`Resolved; independent review passed`. Team Position and Spawn Transform are distinct canonical terms. Every Team Position has exactly one Spawn Transform, Loadout selection cannot change it, and start places each Trainee at the transform of the assigned Team Position. The interview-blind reviewer independently confirmed the mapping and finite verification cases."
AMBIGUITY-PREPARATION-CONCURRENCY-001,"`Resolved; independent review passed`. Concurrent requests for a final Team Position or Loadout quantity produce no over-allocation, explicitly rejected requests, preserved valid preceding selections, updated availability, continued preparation state, and no automatic alternative assignment. The interview-blind reviewer confirmed that winner selection and fairness remain intentionally unconstrained while the safety and rejection outcomes are finite."
AMBIGUITY-TRACEABILITY-POPULATION-001,"`Resolved; independent review passed`. A Baseline Artifact Inventory closes the architecture, design, implementation and verification artifact population, records exact identity/version/class/location/status/owner, requires reconciliation with authoritative sources and approval, and blocks the baseline on missing, stale, unclassified or untraced artifacts."
AMBIGUITY-NFR-DOCUMENT-BOUNDARY-001,"`Resolved; independent review passed`. The requirements baseline does not claim that the non-functional specification already exists. A separately identified canonical NFR document is required before overall product-baseline approval, while the current interview-input file remains explicitly non-normative."
AMBIGUITY-ACTION-ADMISSION-001,"`Resolved; independent review passed`. A complete versioned Action Inventory enumerates every exposed Trainee action and traces it to a pre-admission project-owner-approved Training Need Record with a military activity, intended outcome, scope and rationale. Missing, unapproved, untraced and entertainment-only actions are rejected."
AMBIGUITY-PREPARATION-UNLOCK-001,"`Resolved; independent review passed`. Preparation is the pre-active state whenever no initial countdown runs, including re-entry after cancellation. Team and Loadout locks end only on that transition, selections become changeable under ordinary rules, and any restart begins a fresh five seconds."
AMBIGUITY-SPAWN-GEOMETRY-001,"`Resolved; independent review passed`. Every tested collision/occupancy volume comes from an exact applicable Approved Profile, every placement region has stable versioned provenance in canonical Blender Map content, and validation evidence binds all geometry, transforms, assignments, Loadouts, content and profiles before applying finite intersection and containment predicates."
AMBIGUITY-SPAWN-ATOMICITY-001,"`Resolved; independent review passed`. All initial placements and active-state changes commit in one canonical Session Authority transition, and no authoritative partial-active state may be observable; client rendering latency is outside this authoritative-state criterion."
AMBIGUITY-INITIAL-START-CONDITIONS-001,"`Resolved; project-owner amendment confirmed`. The closed set identifies the launch-selected Scenario and Authority Pack through the immutable Runtime Content Release view, verified signature, authorized role and content contract, reciprocal pair binding, integrity, completeness and Authority activation status. Loss of any individual or global condition cancels immediately and enters Preparation, equal-time invalidation precedes completion, and unstated countdown or start gates are prohibited."
AMBIGUITY-SESSION-RESET-001,"`Resolved; project-owner amendment confirmed`. A Session Authority process owns exactly one Scenario and one Training Session, performs complete terminal settlement, ends Admissions and exits. Another Training Session always uses a new process and receives no live canonical or client state from its predecessor, so no cross-session reset-or-retain catalogue exists."
AMBIGUITY-SCENARIO-END-PRECEDENCE-001,`Resolved; independent review passed`. Each Scenario defines a deterministic priority or combined result for every set of objective conditions and duration expiry accepted in the same canonical transition. The Session Authority resolves all such conditions before recording normal completion.
AMBIGUITY-SERVER-SESSION-SCOPE-001,"`Resolved; project-owner amendment confirmed`. One Session Authority process is launch-bound to one Authority Pack, one Scenario and exactly one Training Session across Preparation, countdown, active simulation, completion processing, terminal settling and shutdown; it cannot repeat or reconfigure."
AMBIGUITY-RECOVERY-SEARCH-AREA-001,"`Resolved; independent review passed`. The recovering-Team briefing uses stable versioned search geometry containing the selected position while leaving at least two valid positions consistent with all briefing information. Quantitative extent/granularity bounds, independent tactical-usefulness evaluation and project-owner approval precede Scenario use."
AMBIGUITY-TEAM-IDENTIFICATION-ERROR-001,"`Resolved; independent review passed`. The former human outcome is replaced by observable system behavior: no automatic friend-or-foe identification or correction, and hidden Team identity cannot reject an otherwise permitted action. An approved Representative Evaluation procedure defines controlled evidence-insufficiency cases."
AMBIGUITY-VR-BASELINE-APPLICABILITY-001,"`Resolved; independent review passed`. A Baseline Applicability Inventory classifies every current requirement exactly once and is reconciled and approved before verification. The current dependency inventory derives the complete VR-dependent set, which receives no early `Pass` and must be entirely Included in the first VR baseline."
AMBIGUITY-ACTION-COMPATIBILITY-001,"`Resolved; independent review passed`. For every action pair, approved physical-condition classes are mutually exclusive and collectively exhaustive across reachable relevant states, and each current state maps deterministically to one complete class. Pairwise and global-lock behavior cites that matrix result, while aggregate multi-action conflicts remain enforced."
AMBIGUITY-AUTHORITY-LIFECYCLE-001,`Resolved; independent review passed`. Exactly one unchanged Session Authority governs every phase of each non-completed and non-terminated Training Session rather than only active simulation.
AMBIGUITY-ACOUSTIC-SOURCE-SCOPE-001,"`Resolved; independent review passed`. Acoustic Propagation now applies to every represented sound source, so Proximity Voice and radio loudspeakers use the same canonical concept as weapons and explosions without implying physical force."
AMBIGUITY-RADIO-DAMAGE-PROFILE-001,"`Resolved; independent review passed`. Team Radio damage is bound to the exact admitted Approved Profile version covering the equipment, exposure, impact location, and protection, and retained evidence remains bound to that version."
AMBIGUITY-RADIO-COVERAGE-001,"`Resolved; independent review passed`. Radio coverage is now accepted against an approved Radio Coverage Profile with a complete declared spatial domain, controlled isolated-transmission conditions, objective metric and tolerance, reproducible analysis, geometry-reconciled finite test points, and pre-observation representative confirmation."
AMBIGUITY-HAND-SIGNAL-PROFILE-001,`Resolved; independent review passed`. Every supported Hand Signal meaning and physical gesture is an enumerated item in an exact admitted Approved Profile version with item-level in-scope specialist validation before use as validated behavior.
AMBIGUITY-POST-INCAPACITY-VOICE-001,"`Resolved; independent review passed`. An Incapacitated or Fatal Trainee transmits no voice to any Trainee through either simulation voice channel, independent of Team, radio possession, function, or channel."
AMBIGUITY-FATIGUE-LOAD-MODEL-001,"`Resolved; independent review passed`. Canonical Fatigue, Fatigue Profile, and Carried Load concepts now define authoritative state, exact admitted profile provenance, simulated-time evolution, bounded effects, item contributions, and exactly-once nested load accounting."
AMBIGUITY-LOCOMOTION-PROFILE-001,"`Resolved; independent review passed`. Locomotion uses an exact admitted profile with a complete input domain and one consistent equality tuple containing posture, Carried Load, Fatigue, Recovery Carrier status, Functional State, and any additional outcome-changing factor."
AMBIGUITY-STRESS-DOMAIN-001,"`Resolved; independent review passed`. An exact admitted Stress Profile closes the stressor and effect populations, simulated-time behavior, history windows, bounds, enabled or disabled optional effects, task mappings, feedback, tolerances, and applicability."
AMBIGUITY-CARRYING-CATALOGUE-001,"`Resolved; independent review passed`. A closed, approved Carrying Catalogue reconciles admitted content and supplies the complete deterministic compatibility relation, capacities, load contributions, and stable total automatic-stow order; missing or uncertain entries block acceptance."
AMBIGUITY-AUTOSTOW-ATOMICITY-001,"`Resolved; independent review passed`. Automatic stow now preflights a complete allocation for every displaced held item, resolves destinations by a stable total order, commits the stows and pickup atomically, and leaves all state unchanged if the allocation or another precondition fails."
AMBIGUITY-ITEM-CONSERVATION-001,"`Resolved; independent review passed`. Every physical item has stable identity and exactly one disposition, transfers preserve that identity atomically, containment is acyclic with one immediate parent, and recursive Carried Load counts every nested item exactly once."
AMBIGUITY-WEAPON-PROFILE-PROVENANCE-001,"`Resolved; independent review passed`. Every weapon, ammunition, magazine, accessory, malfunction, correction, and interaction rule now references exact admitted Approved Profile versions through a closed Weapon Behavior Catalogue and ordinary profile validation and admission gates."
AMBIGUITY-WEAPON-CAPABILITY-DOMAIN-001,`Resolved; independent review passed`. A complete source inventory and item-level catalogue classify every equipment-type and required-behavior pair as `Applicable` with a nonempty complete domain or justified `Not Applicable`; missing or uncertain rows block admission.
AMBIGUITY-SIGHT-DOMAIN-001,"`Resolved; independent review passed`. Every firearm Loadout has at least one applicable physical sight, setup values use admitted units and domains, and magnification is required exactly for the applicable declared states and ranges."
AMBIGUITY-WEAPON-PHYSICAL-INTERACTION-001,"`Resolved; independent review passed`. Recoil, moving discharge, bracing, and collision use exact admitted predicates, geometry, complete contact classes including owner-body contact, bounded outputs, tolerances, and no-contact controls rather than human-outcome or optional-effect wording."
AMBIGUITY-WEAPON-DAMAGE-BOUNDARY-001,"`Resolved; independent review passed`. Mutually exclusive and exhaustive cause classes and deterministic precedence separate prohibited external damage from permitted use, heat, ammunition, contamination, and obstruction state changes."
AMBIGUITY-SUPPRESSOR-SIGNATURE-001,"`Resolved; independent review passed`. Suppressor non-elimination is bound to exact Acoustic Propagation and Blast Overpressure criteria across a closed source/path/receiver domain, with representative audibility evaluation."
AMBIGUITY-WEAPON-ITEM-DISPOSITION-001,"`Resolved; independent review passed`. Item Disposition now covers Carry Positions, chambers, magazines, weapon interfaces, Scenario placement, consumption, and traced transformations; discharges and reactions declare every input, represented product, terminal input, and non-item physical output without copying."
AMBIGUITY-RELOAD-SELECTION-001,"`Resolved; independent review passed`. Reload command acceptance has a complete precondition and bound state; its candidate population and sampling time are fixed, the inserted magazine is excluded, ties and destinations use Carrying Catalogue total orders, and interruption scopes drop/stow outcomes to completed operations."
AMBIGUITY-STRESS-WEAPON-EFFECT-001,`Resolved; independent review passed`. Stress effects on reload and malfunction correction execute exactly when and as enabled by the admitted Stress Profile and never when disabled or unenumerated.
AMBIGUITY-AMMUNITION-DAMAGE-DOMAIN-001,"`Resolved; independent review passed`. Exact ammunition and magazine profiles close the exposure and state domains, component mappings, mutually exclusive and exhaustive outcomes, damaged capabilities, reaction products, stochastic provenance, and tolerances."
AMBIGUITY-MALFUNCTION-DOMAIN-001,"`Resolved; independent review passed`. A closed weapon × ammunition × condition inventory fixes applicability, occurrence, blocked operations, cues, corrections, starting states, intermediate dispositions, terminal states, and missing-row rejection for every supported malfunction."
AMBIGUITY-MALFUNCTION-PRESENTATION-001,"`Resolved; independent review passed`. Every supported malfunction has an admitted cue set and perception/distinction criteria against ordinary and other malfunction states, verified by technical evidence and Representative Evaluation."
AMBIGUITY-AIMING-ORIGIN-001,"`Resolved; independent review passed`. Ballistic origin now uses the exact admitted emission transform, bore relationship, and tolerance independently of camera and screen centre."
AMBIGUITY-WEAPON-INSPECTION-OBSERVABILITY-001,"`Resolved; independent review passed`. Each inspection closes its physical-state, action, viewpoint, and lighting domain and exposes only enumerated physical cues under admitted perception and distinction criteria."
AMBIGUITY-RELOAD-INTERRUPTION-PRECEDENCE-001,`Resolved; independent review passed`. Magazine drop or stow requirements now apply only when their represented operation completes; interruption preserves the exact Item Disposition already reached.
AMBIGUITY-AMMUNITION-STATE-SCHEMA-001,"`Resolved; independent review passed`. An exact admitted closed schema enumerates cartridge, magazine, contained-identity order, chamber, condition, feed, retention, capacity, and disposition fields and rejects missing or uncertain state."
AMBIGUITY-PHYSICAL-PROFILE-PROVENANCE-001,"`Resolved; independent review passed`. Physical Profile is now an exact admitted Approved Profile, and every normative physical value and behavior uses item-level evidence, in-scope Qualified Specialist validation, project-owner approval, admission, and change history."
AMBIGUITY-BALLISTICS-DOMAIN-001,"`Resolved; independent review passed`. A closed Physical Effects Catalogue covers projectiles, atmosphere, flight states, materials, geometry, impacts, residual outputs, deformation, fragmentation, tolerances, and missing-row rejection."
AMBIGUITY-BALLISTIC-TRANSFORMATION-001,`Resolved; independent review passed`. Every applicable deformation or fragmentation uses an admitted transformation row that traces terminated and created identities under the item-transformation invariant.
AMBIGUITY-OVERPRESSURE-DOMAIN-001,"`Resolved; independent review passed`. Blast Overpressure now resolves a complete source/path/geometry/target/protection/state domain to exact arrival, pressure-time, injury, state, impulse, sensory, duration, no-effect, and tolerance outputs independently of sound."
AMBIGUITY-ACOUSTIC-PROFILE-DOMAIN-001,"`Resolved; independent review passed`. An exact approved Acoustic Propagation Catalogue and admitted Acoustic Profiles close sound sources, paths, openings, materials, geometry, environments, receivers, outputs, criteria, tolerances, and missing-row behavior."
AMBIGUITY-ACOUSTIC-TIME-PERCEPTION-001,"`Resolved; independent review passed`. Acoustic output obeys exact authoritative arrival ordering; earlier physical/visual effects remain earlier, and filter, reflection, echo, and environment outputs use pre-approved perception and distinction criteria with Representative Evaluation."
AMBIGUITY-INJURY-PROFILE-DOMAIN-001,"`Resolved; independent review passed`. An exact approved Injury Outcome Catalogue and admitted Injury Profiles close body, exposure, magnitude, protection, prior injury, state, outcome, limitation, cue, duration, downstream effect, tolerance, and enabled/disabled populations."
AMBIGUITY-FUNCTIONAL-STATE-TRANSITION-001,"`Resolved; independent review passed`. A closed Functional State Transition Catalogue maps every current state and single, simultaneous, or accumulated injury class to one ordered atomic successor and retained/added limitation set; `Impaired` retains at least one permitted action."
AMBIGUITY-INJURY-CROSS-PROFILE-001,"`Resolved; independent review passed`. Every injury effect identifies exact downstream Locomotion, Fatigue, Stress, Acoustic, physical-condition and action-compatibility fields, classes, precedence, and change impact."
AMBIGUITY-INJURY-STRESS-ORDER-001,"`Resolved; independent review passed`. One injury event derives injury and Functional State first, then feeds that result and exposure to Stress Profile evaluation, committing injury, limitations, state, Fatigue inputs, and Stress Load atomically."
AMBIGUITY-IMPAIRMENT-PRESENTATION-001,"`Resolved; independent review passed`. Sensory, external and post-incapacity presentation now use closed cue/viewpoint/lighting/path/environment domains, own-body origin, exact criteria and tolerances, technical evidence, and Representative Evaluation."
AMBIGUITY-INCAPACITATED-BODY-PHYSICS-001,"`Resolved; independent review passed`. Incapacitated and Fatal body collision, force response, no-contact behavior, clearance, and traversal are bound to exact admitted profile domains and bounded outcomes."
AMBIGUITY-MELEE-PROFILE-PROVENANCE-001,"`Resolved; independent review passed`. Every Melee body, equipment, contact, physical and injury rule now binds to exact admitted catalogue rows and Approved Profile versions with Qualified Specialist evidence ownership."
AMBIGUITY-MELEE-CAPABILITY-DOMAIN-001,"`Resolved; independent review passed`. A closed source inventory and Melee Coverage Catalogue classify every body/state, action, implement/interface, resource, access mode and condition row with a nonempty applicable domain or justified non-applicability and reject missing entries."
AMBIGUITY-MELEE-CONTACT-OUTCOME-001,"`Resolved; independent review passed`. Exact active phases, geometries, materials, relative states, targets, protection, contact tolerances and no-contact cases resolve one complete impulse, injury, equipment-damage, transformation or no-effect tuple."
AMBIGUITY-MELEE-PHYSICAL-LIMIT-001,"`Resolved; independent review passed`. Melee speed, energy, repetition and recovery use complete posture, load, Fatigue, injury/state, implement, action and mode tuples with exact downstream profiles, precedence, bounded outputs and tolerances."
AMBIGUITY-MELEE-STRESS-001,"`Resolved; independent review passed`. Stress changes Melee preparation or recovery exactly when and as enabled by the Stress Profile, never when disabled or unenumerated, and cannot add directional error or random failure."
AMBIGUITY-TRAINEE-COLLISION-DOMAIN-001,"`Resolved; independent review passed`. Exact body-collision profiles close pose, Functional State, pair, geometry, force, surface, tolerance, response, multi-contact order, displacement enablement and prohibited-force thresholds."
AMBIGUITY-FRIENDLY-FIRE-POPULATION-001,"`Resolved; independent review passed`. A closed Harmful Effect Inventory covers every admitted adverse source, and paired cases differing only in Team identity must use identical rules while represented equipment or protection differences remain traceable and permitted."
AMBIGUITY-ENVIRONMENT-COVERAGE-CATALOGUE-001,"`Resolved; independent review passed`. Closed approved source, coverage, and state catalogues now reconcile every admitted environment object/effect, interaction, state, outcome, profile and requirement and block missing or uncertain behavior."
AMBIGUITY-ENVIRONMENT-STATE-ORDER-001,"`Resolved; independent review passed`. Environment transition tables define complete triggers, one succeeding tuple, simultaneous aggregation and precedence, atomic outputs and transformations, terminal states, persistence and reset for doors, windows, lights, devices, Fire, movable objects and damage."
AMBIGUITY-ENVIRONMENT-CONDITIONAL-EFFECT-001,"`Resolved; independent review passed`. Every formerly discretionary damage, Obscurant, fragment, physiology, retention, initiation, ignition, Fire-output and exposure clause now selects and executes one exact exhaustive profile outcome, including explicit disabled or no-effect cases."
AMBIGUITY-THROWN-DEVICE-PHYSICAL-LIMIT-001,"`Resolved; independent review passed`. Throw intensity and preparation use a complete device, Fatigue, load, injury/state, posture and mode tuple with exact profiles, precedence, bounded outputs and tolerances; optional effects apply only when enabled."
AMBIGUITY-THROWN-DEVICE-STRESS-001,"`Resolved; independent review passed`. Stress changes throw preparation exactly when and as enabled by the Stress Profile, never when disabled or unenumerated, and cannot add random direction error."
AMBIGUITY-OBSCURANT-EVOLUTION-001,"`Resolved; independent review passed`. Exact Obscurant Profiles close formation, authoritative volume, geometry/opening interaction, environment, simulated-time movement/dissipation, path/viewpoint visibility, physiology, outputs and tolerances."
AMBIGUITY-FIRE-DOMAIN-001,"`Resolved; independent review passed`. Exact Fire Profiles and environment state rows close sources, materials, heat transfer, geometry, environment, targets, states, fuel conservation, ignition, propagation, exposure, outputs, timing, aggregation, precedence and extinction."
AMBIGUITY-ENVIRONMENT-MANIPULATION-001,"`Resolved; independent review passed`. Every movable object and manipulation mode has complete state/resource/profile tuples and exact limits; acquire/release preserves identity and disposition atomically, carried load is conserved, and same-object contention admits at most one manipulator."
AMBIGUITY-LOCALIZED-DAMAGE-001,"`Resolved; independent review passed`. A closed destructible inventory defines localization granularity, exact geometry/material/collision and transformation rows, exhaustive outcomes and every downstream visibility, cover, projectile, Acoustic, Lighting and movement output."
AMBIGUITY-REFERENCE-TACTICAL-SPACE-001,`Resolved; independent review passed`. A versioned reference-space and connection inventory gives stable identities and objective evidence; at least two independent in-scope evaluators confirm tactical relevance before exact project-owner approval.
AMBIGUITY-ENVIRONMENT-VISUAL-OUTPUT-001,"`Resolved; independent review passed`. Lighting and Obscurant outputs now use exact admitted spatial/path domains, metrics and tolerances, with Representative Evaluation for tactically meaningful illumination, shadow, occlusion and visibility differences."
AMBIGUITY-REFERENCE-MAP-ACCEPTANCE-001,"`Resolved; independent review passed`. An exact approved reference Map acceptance profile closes boundary dimensions, urban content, vertical routes, accessibility, lighting classes, metrics and tolerances, with independent representative confirmation of retained training judgment."
AMBIGUITY-RECOVERY-PLACEMENT-RANDOMNESS-001,"`Resolved; independent review passed`. Proxy placement uses an approved uniform distribution and generator/configuration over the exact valid set, with `1/N` probabilities, analytic/statistical acceptance, tolerance, sampling with replacement and history independence instead of a vague unpredictability rule."
AMBIGUITY-RECOVERY-PROXY-STATE-001,"`Resolved; independent review passed`. The Proxy has stable identity, exact item/carry/action/environment states, resources and load; eligibility is exhaustive, former carriers may repick it, contention is ordered, and incapacity drop is atomic at a deterministic collision-valid transform."
AMBIGUITY-RECOVERY-CARRIER-ACTION-001,"`Resolved; independent review passed`. Carrier status prohibits exact Primary and two-hand actions but alone does not disable one-hand Secondary, radio or navigation use; current equipment, limb, resource and state prerequisites remain authoritative."
AMBIGUITY-RECOVERY-CARRIER-SPEED-001,`Resolved; independent review passed`. The final 70% speed uses an exact otherwise-identical Locomotion tuple excluding Proxy load and carrier status and cannot receive a second Proxy or carrier reduction.
AMBIGUITY-RECOVERY-EXTRACTION-001,"`Resolved; independent review passed`. Versioned extraction geometry contains the full Proxy volume within tolerance; simulated time accumulates continuously, exit resets atomically, and exit at the five-second boundary precedes success."
AMBIGUITY-RECOVERY-FAILURE-PREDICATE-001,"`Resolved; independent review passed`. Recovery failure now occurs exactly when all recovering-Team Trainees are Incapacitated or Fatal in a canonical transition, subject to admitted Scenario end precedence."
AMBIGUITY-MAP-SCENARIO-AUTHORING-BOUNDARY-001,`Resolved; independent review passed`. Blender Map content owns versioned spatial anchors/regions and geometry; Scenario data references those identities and supplies mission semantics without duplicating or redefining canonical geometry.
AMBIGUITY-CONTENT-PROCESSING-PROVENANCE-001,"`Resolved; independent review passed`. Every processed package has complete source, pipeline/tool/config, output identity/format/hash, item mapping and validation records and passes an approved automated gate or exact project-owner admission."
