sequence,node_identifier,node_class,source_identity,exact_version,canonical_location,registration_state,responsible_owner,classification_basis
12,EDI-PC-012,Product Component,ARCHSPEC-0004:Session Authority Runtime,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#runtime-compositions,Current,Runtime composition,Canonical runtime composition.
13,EDI-PC-013,Product Component,ARCHSPEC-0004:Trainee Client Runtime,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#runtime-compositions,Current,Runtime composition,Canonical runtime composition.
14,EDI-PC-014,Product Component,ARCHSPEC-0004:Content Cooker Runtime,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#runtime-compositions,Current,Runtime composition,Canonical runtime composition.
15,EDI-PC-015,Product Component,ARCHSPEC-0004:Administrative Tool Runtimes,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#runtime-compositions,Current,Runtime composition,Canonical runtime composition.
16,EDI-PC-016,Product Component,ARCHSPEC-0004:Synthetic Client Runtime,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#runtime-compositions,Current,Runtime composition,Canonical runtime composition.
17,EDI-VIEW-001,Software Architecture Description View,ARCHSPEC-0010:Document control and reading guide,ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
18,EDI-VIEW-002,Software Architecture Description View,ARCHSPEC-0010:System context and allocation,ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
19,EDI-VIEW-003,Software Architecture Description View,ARCHSPEC-0010:Module and dependency structure,ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
20,EDI-VIEW-004,Software Architecture Description View,ARCHSPEC-0010:Runtime lifecycle and sequences,ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
21,EDI-VIEW-005,Software Architecture Description View,ARCHSPEC-0010:Concurrency and ownership,ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
22,EDI-VIEW-006,Software Architecture Description View,"ARCHSPEC-0010:Content, trust, and retained-evidence paths",ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
23,EDI-VIEW-007,Software Architecture Description View,ARCHSPEC-0010:Cross-cutting policies,ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
24,EDI-VIEW-008,Software Architecture Description View,ARCHSPEC-0010:Verification and traceability,ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
25,EDI-VIEW-009,Software Architecture Description View,"ARCHSPEC-0010:Risks, debt, assumptions, and open work",ARCHSPEC-0010,docs/architecture/0010-cross-cutting-architecture-and-verification.md#software-architecture-description-view-set,Planned,Project owner,Selected Software Architecture Description view.
26,EDI-ENV-001,Verification Environment,EDI-ENVIRONMENT-001,Python 3 repository validator environment,.,Current,Implementation team,Repository root with exact inventory inputs and Python 3 standard library.
27,EDI-PROC-001,Verification Procedure,EDI-STANDARDS-REVIEW-001,EDI-STANDARDS-REVIEW-001,docs/project/training-simulation-evidence-dependency-inventory.md#coverage-validation,Current,Standards reviewer,Independent Standards review of the fixed staged diff.
28,EDI-PROC-002,Verification Procedure,EDI-SPEC-REVIEW-001,EDI-SPEC-REVIEW-001,docs/project/training-simulation-evidence-dependency-inventory.md#coverage-validation,Current,Spec reviewer,Independent issue-29 Spec review of the fixed staged diff.
29,EDI-PROC-003,Verification Procedure,EDI-OWNER-APPROVAL-001,EDI-OWNER-APPROVAL-001,docs/project/training-simulation-evidence-dependency-inventory.md#current-acceptance-boundary,Current,Project owner,Exact-version project-owner approval procedure.
30,EDI-EVID-001,Evidence Record,EDI-STRUCTURAL-VALIDATION-001,EDI-STRUCTURAL-VALIDATION-001,docs/project/training-simulation-evidence-dependency-inventory.md#coverage-validation,Planned,Implementation team,Pre-registered immutable structural-validation result identity.
31,EDI-EVID-002,Evidence Record,EDI-IMPACT-VALIDATION-001,EDI-IMPACT-VALIDATION-001,docs/project/training-simulation-evidence-impact-cases.csv,Planned,Implementation team,Pre-registered immutable impact-case result identity.
32,EDI-EVID-003,Evidence Record,EDI-STANDARDS-REVIEW-RESULT-001,EDI-STANDARDS-REVIEW-RESULT-001,docs/project/training-simulation-evidence-dependency-inventory.md#coverage-validation,Planned,Standards reviewer,Pre-registered immutable Standards-review result identity.
33,EDI-EVID-004,Evidence Record,EDI-SPEC-REVIEW-RESULT-001,EDI-SPEC-REVIEW-RESULT-001,docs/project/training-simulation-evidence-dependency-inventory.md#coverage-validation,Planned,Spec reviewer,Pre-registered immutable Spec-review result identity.
34,EDI-EVID-005,Evidence Record,EDI-OWNER-APPROVAL-RESULT-001,EDI-OWNER-APPROVAL-RESULT-001,docs/project/training-simulation-evidence-dependency-inventory.md#current-acceptance-boundary,Planned,Project owner,Pre-registered immutable exact-version approval record identity.
35,EDI-DATA-001,Input Data Set,EDI-REVIEW-DIFF-001,sha256:09f4bc04e67740c5dc4b011ad4103f2d6375ad17bcab0d47eebfd441f99b0c6e,git:staged-diff,Planned,Implementation team,Exact canonicalized fixed staged diff consumed by both reviews.
36,EDI-DATA-002,Input Data Set,GITHUB-ISSUE-54,sha256:0b4fe61c13eab973d94a0c693c513ca82591f7a38d547974b7f6dffd2c8cb056,https://github.com/sergioffpc/sacramento/issues/54,Current,Project owner,Exact current issue-body content consumed by Spec review.
37,EDI-DATA-003,Input Data Set,CONVENTIONAL-COMMIT-MESSAGE,CONVENTIONAL-COMMIT-MESSAGE-001,git:commit-message,Planned,Contributor,Pre-registered commit-message input class.
38,EDI-DATA-004,Input Data Set,CPP-VALIDATION-CLOSURE,CPP-ENGINEERING-BASELINE-004,docs/standards/cpp-engineering.md,Planned,Implementation team,Candidate C++ source configuration and changed-file style-gate closure selected by the quality workflow.
39,EDI-DATA-005,Input Data Set,VERIFICATION-ASSIGNMENT-SOURCES,BAI-004,docs/requirements,Current,Project owner,Canonical requirement and verification-assignment source set.
40,EDI-DATA-006,Input Data Set,VERIFICATION-ASSIGNMENT-OUTPUT,VERIFICATION-ASSIGNMENT-OUTPUT-001,docs/requirements/training-simulation-verification-assignment-inventory.csv,Planned,Implementation team,Pre-registered generated assignment expansion output.
41,EDI-DATA-007,Input Data Set,DOCUMENT-POPULATION,DOCINV-009,docs,Planned,Project owner,Retained repository document population selected by candidate DOCINV-009.
42,EDI-DATA-008,Input Data Set,GIT-HISTORY,GIT-HISTORY-001,.git,Current,Repository maintainers,Commit and pull-request history consumed by commit-policy gates.
43,EDI-EVID-006,Evidence Record,EDI-COMMIT-HOOK-RESULT-001,EDI-COMMIT-HOOK-RESULT-001,.git/hooks/commit-msg,Planned,Implementation team,Pre-registered local commit-hook result identity.
44,EDI-EVID-007,Evidence Record,EDI-CODEQL-RESULT-001,EDI-CODEQL-RESULT-001,github:codeql-check,Planned,Implementation team,Pre-registered CodeQL workflow result identity.
45,EDI-EVID-008,Evidence Record,EDI-COMMIT-POLICY-RESULT-001,EDI-COMMIT-POLICY-RESULT-001,github:commit-policy-check,Planned,Implementation team,Pre-registered remote commit-policy result identity.
46,EDI-EVID-009,Evidence Record,EDI-BAI-VALIDATION-RESULT-001,EDI-BAI-VALIDATION-RESULT-001,docs/requirements/training-simulation-baseline-applicability.md#validation,Planned,Implementation team,Pre-registered Baseline Applicability validation result identity.
47,EDI-EVID-010,Evidence Record,EDI-BART-VALIDATION-RESULT-001,EDI-BART-VALIDATION-RESULT-001,docs/project/training-simulation-baseline-artifact-inventory.md#reconciliation-and-validation,Planned,Implementation team,Pre-registered Baseline Artifact validation result identity.
48,EDI-EVID-011,Evidence Record,EDI-DOCINV-VALIDATION-RESULT-001,EDI-DOCINV-VALIDATION-RESULT-001,docs/project/training-simulation-documentation-inventory.md#reconciliation-and-validation,Planned,Implementation team,Pre-registered Documentation Inventory validation result identity.
49,EDI-EVID-012,Evidence Record,EDI-COMMIT-VALIDATION-RESULT-001,EDI-COMMIT-VALIDATION-RESULT-001,docs/standards/conventional-commits.md#integration,Planned,Implementation team,Pre-registered direct commit-message validation result identity.
50,EDI-EVID-013,Evidence Record,EDI-CPP-STYLE-GATE-RESULT-001,EDI-CPP-STYLE-GATE-RESULT-001,scripts/validate-cpp-style.sh,Planned,Implementation team,Pre-registered changed-file C++ style-gate result identity.
51,EDI-PC-017,Product Component,ARCHSPEC-0004:Scenario,ARCHSPEC-0004,docs/architecture/0004-canonical-responsibility.md#responsibility-modules,Current,Scenario,Canonical responsibility module.
