retired_identifier,source,replacement,reason,previous_statement
PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-003** — Representative Evaluation MUST NOT be required solely because an obligation concerns a military subject when its complete acceptance criteria and tolerances are determined by Approved Profiles and reproducible objective technical evidence.
PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-004** — If the method-assignment review cannot establish that objective technical evidence is sufficient, Representative Evaluation MUST be assigned as a Required method."
PROCESS-VERIFICATION-EVALUATION-INVENTORY-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-EVALUATION-INVENTORY-001** — The versioned Assignment Expansion Inventory MUST classify every normative identifier as `Required Within Identifier` when one or more of its obligations require Representative Evaluation, or as `Not Required for Identifier` only when objective technical evidence is sufficient for every obligation within it."
PROCESS-VERIFICATION-EVALUATION-INVENTORY-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-EVALUATION-INVENTORY-002** — `Required Within Identifier` MUST identify the matching assignment rows whose Required methods include Representative Evaluation and MUST use those rows' required-evidence statements as the identifier-level rationale; it MUST NOT make Representative Evaluation applicable to an independently objective obligation within a compound identifier.
PROCESS-VERIFICATION-EVALUATION-INVENTORY-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-EVALUATION-INVENTORY-003** — `Not Required for Identifier` MUST state that assigned objective criteria and reproducible technical evidence are sufficient for every obligation under `PROCESS-VERIFICATION-EVALUATION-APPLICABILITY-003`; an ambiguity finding or other non-obligation metadata entry MUST instead use `Not Applicable — Metadata`.
PROCESS-VERIFICATION-EVALUATION-INVENTORY-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-EVALUATION-INVENTORY-004** — Before each verification procedure is approved, the implementation team MUST enumerate its independently fail-able stable obligation keys and replace the identifier-level classification with an explicit `Required` or `Not Required` decision and rationale for each key; mixed decisions within a compound identifier are permitted and MUST remain separately attributable in the procedure and evidence."
PROCESS-VERIFICATION-DEFAULT-DEVIATION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-DEFAULT-DEVIATION-001** — An assignment that departs from a default MUST use a Verification Method Exception that identifies the obligation key, default method, objective non-applicability rationale and evidence, remaining Required methods, decision date, and project-owner approval before the verification procedure is approved."
PROCESS-VERIFICATION-DEFAULT-DEVIATION-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-METHOD-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-DEFAULT-DEVIATION-002** — A Verification Method Exception MUST NOT remove a method explicitly required by a requirement or assignment, leave an obligation without a Required method, or be approved while method applicability remains uncertain."
PROCESS-EVIDENCE-CONTENT-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-CONTEXT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-CONTENT-001** — Each verification execution MUST produce a versioned evidence record containing the verified requirement identifiers, exact product version, applicable Scenario, Map, content and profile versions, relevant platform, hardware and configuration, procedure and input data, execution date, executor, raw results, disposition, and approved procedural deviations."
PROCESS-EVIDENCE-DISPOSITION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DISPOSITION-001** — Each evidence record MUST assign exactly one calculated disposition to every identifier it verifies: `Pass`, `Fail`, or `Blocked`."
PROCESS-EVIDENCE-DISPOSITION-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DISPOSITION-002** — A `Blocked` disposition MUST identify the unavailable dependency, unresolved ambiguity, invalid environment, or other condition that prevented a valid pass-or-fail decision."
PROCESS-EVIDENCE-OBLIGATION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-OBLIGATION-001** — Before execution, each verification procedure MUST enumerate every independently fail-able obligation within each covered identifier and assign each obligation a stable key that remains unchanged while that obligation's meaning remains unchanged."
PROCESS-EVIDENCE-OBLIGATION-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-OBLIGATION-002** — The evidence record MUST assign `Pass`, `Fail`, or `Blocked` separately to every enumerated obligation and MUST retain observations and results attributable to that obligation key."
PROCESS-EVIDENCE-OBLIGATION-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-EVIDENCE-OBLIGATION-003** — An identifier disposition MUST be calculated as `Pass` only when every enumerated obligation is `Pass`; as `Fail` when at least one obligation is `Fail`; and as `Blocked` when no obligation is `Fail` and at least one obligation is `Blocked`.
PROCESS-EVIDENCE-OBLIGATION-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-EVIDENCE-OBLIGATION-004** — An identifier MUST NOT receive `Pass` while any normative clause lacks an enumerated obligation key or obligation-level `Pass` evidence.
PROCESS-EVIDENCE-RETENTION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-RETENTION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-RETENTION-001** — Every accepted and superseded evidence record MUST remain immutable, retained indefinitely, and traceable to the requirement, product, content, profiles, procedure, and decision for which it was produced; this baseline authorizes no deletion or silent overwrite."
PROCESS-EVIDENCE-GROUPING-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-EVIDENCE-GROUPING-001** — One verification procedure MAY cover multiple related requirement identifiers when the procedure states every covered identifier before execution.
PROCESS-EVIDENCE-GROUPING-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-RESULT-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-GROUPING-002** — A grouped procedure MUST retain separately attributable observations, results, and `Pass`, `Fail`, or `Blocked` dispositions for every covered identifier; an aggregate result MUST NOT substitute for identifier-level evidence."
PROCESS-EVIDENCE-DEPENDENCY-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-001** — The Evidence Dependency Inventory MUST enumerate every registered current requirement identifier, obligation key, product component and configuration item, Scenario, Map, content item, Approved Profile, verification procedure, input-data set, verification environment, and evidence record, together with every known directed dependency relation among them."
PROCESS-EVIDENCE-DEPENDENCY-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-002** — Every artifact or input used to produce, interpret, or accept verification evidence MUST be registered in its applicable authoritative inventory and classified in the Evidence Dependency Inventory before that evidence can receive `Pass`."
PROCESS-EVIDENCE-DEPENDENCY-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-003** — Before use in impact analysis, the implementation team MUST reconcile the Evidence Dependency Inventory against the complete current authoritative inventory for every category in `PROCESS-EVIDENCE-DEPENDENCY-001`, verify every procedure's declared inputs, outputs, and dependencies, and obtain project-owner approval for the exact inventory version."
PROCESS-EVIDENCE-DEPENDENCY-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-004** — Adding, removing, reclassifying, or changing an inventory item or dependency relation MUST create a new Evidence Dependency Inventory version and trigger re-evaluation of every retained impact analysis that relied on the preceding inventory version."
PROCESS-EVIDENCE-DEPENDENCY-005,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-005** — A missing, stale, or unclassified item or dependency relation MUST make affected-set membership uncertain and MUST NOT support an `Unaffected` classification."
PROCESS-EVIDENCE-DEPENDENCY-006,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-006** — Before executing a verification, inventory validation, or impact analysis, the planned output-record identifiers, classifications, and dependency relations MUST be registered in the candidate Evidence Dependency Inventory version used by that execution."
PROCESS-EVIDENCE-DEPENDENCY-007,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-007** — Populating an immutable pre-registered output record with its execution results MUST NOT create a new Evidence Dependency Inventory version when its identifier, classification, and dependency relations remain unchanged."
PROCESS-EVIDENCE-DEPENDENCY-008,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-008** — Discovery or production of an unregistered output, classification, input, or dependency relation MUST create a new candidate Evidence Dependency Inventory version and MUST classify affected-set membership as uncertain until the new version is coverage-validated and all required verification is rerun."
PROCESS-EVIDENCE-DEPENDENCY-009,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-DEPENDENCY-009** — Inventory validation and dependent impact-analysis re-evaluation MUST terminate only at an approved Evidence Dependency Inventory version that already registers every output record, classification, input, and dependency relation produced or discovered by that validation and re-evaluation and has no pending unregistered output."
PROCESS-EVIDENCE-CHANGE-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-CHANGE-001** — An accepted verification MUST be executed again when a change to the product, Scenario, Map, content, approved profile, verification environment, input data, or procedure can affect its result."
PROCESS-EVIDENCE-CHANGE-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-CHANGE-002** — Existing evidence MAY remain valid after a change only when a recorded impact analysis identifies the change and uses the current approved Evidence Dependency Inventory to trace it to every reachable requirement identifier, obligation key, verification procedure, verification environment, Approved Profile, content item, and evidence record."
PROCESS-EVIDENCE-CHANGE-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-CHANGE-003** — An impact analysis MAY classify an accepted result as `Unaffected` only when no dependency path from the change to that result exists in the current approved and coverage-validated Evidence Dependency Inventory, or when reproducible analysis demonstrates that the accepted result is invariant under the change despite such a path."
PROCESS-EVIDENCE-CHANGE-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-EVIDENCE-CHANGE-004** — An accepted result is invariant only when the changed baseline continues to satisfy the exact obligation-level acceptance criterion and retains a `Pass` disposition; raw observations MUST remain identical only when the applicable obligation or acceptance criterion requires exact identity.
PROCESS-EVIDENCE-CHANGE-005,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-CHANGE-005** — An `Unaffected` classification MUST identify its inputs, reasoning or executable analysis, results, applicable changed baseline, obligation-level acceptance criterion, disposition, and Evidence Dependency Inventory version and MUST receive project-owner approval."
PROCESS-EVIDENCE-CHANGE-006,docs/requirements/training-simulation-verification-plan.md,VERIFY-CHANGE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-EVIDENCE-CHANGE-006** — Missing, stale, or unclassified dependency information, uncertainty about affected-set membership, or inability to establish that an accepted result is `Unaffected` MUST classify the verification as affected and require its execution again against the changed baseline."
PROCESS-PROCEDURE-DEVIATION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-001** — A procedural deviation MUST NOT weaken, remove, reinterpret, or replace a normative obligation, acceptance criterion, Required verification method, or required evidence item."
PROCESS-PROCEDURE-DEVIATION-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-002** — A planned procedural deviation MUST identify the affected procedure version, requirement identifiers and obligation keys, rationale, changed steps, and evidence impact and MUST receive project-owner approval before execution; before approval, prospective preserved coverage MUST be established under `PROCESS-PROCEDURE-DEVIATION-COVERAGE-001` and `PROCESS-PROCEDURE-DEVIATION-COVERAGE-003` using the current approved Evidence Dependency Inventory."
PROCESS-PROCEDURE-DEVIATION-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-PROCEDURE-DEVIATION-003** — An unplanned deviation observed during execution MUST assign `Blocked` to every affected obligation result until its impact is resolved.
PROCESS-PROCEDURE-DEVIATION-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-004** — Evidence from an unplanned deviation MAY be retained for acceptance only when recorded impact analysis under `PROCESS-PROCEDURE-DEVIATION-COVERAGE-001`, `PROCESS-PROCEDURE-DEVIATION-COVERAGE-002`, and `PROCESS-EVIDENCE-CHANGE-002` through `PROCESS-EVIDENCE-CHANGE-006`, using the current approved Evidence Dependency Inventory, demonstrates equivalent coverage and the project owner approves that analysis."
PROCESS-PROCEDURE-DEVIATION-005,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-005** — When equivalent coverage cannot be demonstrated and approved, the affected verification MUST be executed again under the approved procedure or a separately approved planned deviation."
PROCESS-PROCEDURE-DEVIATION-006,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-006** — After executing an approved planned deviation, the actual steps, controlled conditions, boundary cases, observations, and evidence outputs MUST reconcile to its approved prospective mapping before any affected obligation can receive `Pass`; any unapproved difference from that mapping MUST be treated as an unplanned deviation under `PROCESS-PROCEDURE-DEVIATION-003` through `PROCESS-PROCEDURE-DEVIATION-005`."
PROCESS-PROCEDURE-DEVIATION-COVERAGE-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-COVERAGE-001** — Equivalent coverage MUST preserve the exact affected obligations, acceptance criteria, Required methods, required evidence items, controlled-condition classes, boundary cases, and attributable observations and dispositions of the approved procedure."
PROCESS-PROCEDURE-DEVIATION-COVERAGE-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-COVERAGE-002** — For an unplanned deviation or another post-execution evidence-retention decision, the coverage analysis MUST provide a reproducible mapping from every affected approved-procedure element to its deviated execution evidence; any missing mapping, uncertainty, changed acceptance meaning, or inability to retain the same obligation-level `Pass` boundary MUST prohibit evidence retention and require rerun."
PROCESS-PROCEDURE-DEVIATION-COVERAGE-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-DEVIATION-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-PROCEDURE-DEVIATION-COVERAGE-003** — For a planned deviation, the prospective coverage analysis MUST provide a reproducible mapping from every affected approved-procedure element to the corresponding proposed step, controlled condition, boundary case, observation, and planned evidence output without requiring execution before approval."
PROCESS-VERIFICATION-EVIDENCE-OWNER-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-ACCEPTANCE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-VERIFICATION-EVIDENCE-OWNER-001** — The implementation team, supported by AI agents, MUST produce and retain the technical evidence required by each assigned verification procedure."
PROCESS-VERIFICATION-MILITARY-EVIDENCE-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-ACCEPTANCE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-MILITARY-EVIDENCE-001** — Representative Evaluators MUST produce the structured military-validity evidence for every requirement whose acceptance assignment includes Representative Evaluation.
PROCESS-VERIFICATION-APPROVER-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-ACCEPTANCE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-APPROVER-001** — The project owner MUST make the final decision to accept or reject each requirement and its submitted evidence.
PROCESS-VERIFICATION-SEPARATION-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-ACCEPTANCE-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-VERIFICATION-SEPARATION-001** — Project-owner approval MUST NOT substitute for required Representative Evaluation evidence.
PROCESS-AMBIGUITY-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-AMBIGUITY-001** — Every statement containing `MUST` or `MUST NOT` MUST be restated independently by two reviewers, including at least one reviewer who has no access to the originating interview context."
PROCESS-AMBIGUITY-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-AMBIGUITY-002** — Each independent restatement MUST identify the obligation, at least one compliant outcome, at least one non-compliant outcome, a feasible verification approach, and material dependencies."
PROCESS-AMBIGUITY-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-AMBIGUITY-003** — Materially different interpretations MUST block acceptance of the affected identifier until the canonical statement or its definitions resolve the difference.
PROCESS-AMBIGUITY-COVERAGE-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-AMBIGUITY-COVERAGE-001** — Every stable identifier, including goals, preferences, permissions, non-goals, and deferred capabilities, MUST receive one ambiguity-checklist review."
PROCESS-AMBIGUITY-COVERAGE-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-AMBIGUITY-COVERAGE-002** — A stable identifier not containing `MUST` or `MUST NOT` MUST receive a second independent review when its first review identifies a material ambiguity, conflict, unverifiable boundary, or risk of changing architecture or accepted scope."
PROCESS-ASSIGNMENT-RANGE-001,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-ASSIGNMENT-RANGE-001** — An assignment range MUST cover every stable identifier occurring between its two named endpoints, inclusive, in the exact canonical source-document version used by the assignment."
PROCESS-ASSIGNMENT-RANGE-002,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-ASSIGNMENT-RANGE-002** — The expanded assignment inventory MUST bind the exact source documents through its content-derived version and retain the ordered identifiers, matching assignment rows, and evidence owners. Generation MUST validate complete coverage, defaults, accumulated Required and Supporting methods, evidence, final approvers, Representative Evaluation applicability, and obligation scope; those values MAY be reconstructed from the bound canonical rows instead of repeated per identifier."
PROCESS-ASSIGNMENT-RANGE-003,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,"**PROCESS-ASSIGNMENT-RANGE-003** — Insertion, removal, or reordering of an identifier within an assignment range MUST trigger assignment and retained-evidence impact analysis under `PROCESS-EVIDENCE-CHANGE-001` through `PROCESS-EVIDENCE-CHANGE-006`."
PROCESS-ASSIGNMENT-RANGE-004,docs/requirements/training-simulation-verification-plan.md,VERIFY-EXAMPLES-001,ADR-0014 replaces full-package process with incremental acceptance; applicable product criteria remain mandatory.,**PROCESS-ASSIGNMENT-RANGE-004** — Every matching assignment row and default rule MUST accumulate; a narrower row MUST NOT replace a broader assignment unless an approved Verification Method Exception applies to an objectively inapplicable default method.
PROCESS-TRACEABILITY-INVENTORY-001,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-TRACEABILITY-INVENTORY-001** — The Baseline Artifact Inventory MUST record a stable artifact identifier, artifact class, exact version, canonical location, baseline status, and responsible owner for every governed architecture, design, implementation, and verification artifact."
PROCESS-TRACEABILITY-INVENTORY-002,docs/requirements/training-simulation-initial-requirements.md,DOC-MAINTENANCE-001,"ADR-0014 replaces mandatory document fields, cyclic inventories and full-package approvals with scoped review and generated navigation.","**PROCESS-TRACEABILITY-INVENTORY-002** — Before a candidate baseline is approved, the implementation team MUST reconcile the Baseline Artifact Inventory against the complete current authoritative repositories or registries for all four artifact classes, and the project owner MUST approve the exact inventory version."
